id;geocod_ibge;rds;nome;vuln;sensib;s_luc_2017;sl_agrotox;sl_agr_fam;sl_prat_sust;sl_fogo;s_csol_2017;sc_passivo;sc_desmat;sc_pastag;sc_miner;s_dens_pop_faz;sd_popul;sd_fazend;s_infra_2017;si_rodov;si_hidro;s_cap;sc_orient;sc_ucons;expos;e_cobexpo;e_cobnat;e_areaprot;e_priocons;ameaca_atual;ameaca_  SWL1.5;ameaca_SWL2.0;risco_atual;risco_SWL1.5;risco_SWL2.0
4240;2603603;MNS;Camutanga;0,45;0,24;0,12;0,02;0,19;0,89;0,05;0,18;0,02;0,33;0,5;0;0,84;1;0,68;0,3;0,34;0,25;0,31;0,31;;0,8;1;0,79;1;1;0,57;0,07;0,08;0,77;0,35;0,38
4241;2603702;AGM;Canhotinho;0,68;0,35;0,26;0,16;0,36;0,92;0,07;0,31;0,25;0,37;0,61;0;0,58;0,47;0,68;0,39;0,18;0,61;0,03;0,03;;0,71;0,83;0,83;1;0,3;0,26;0,61;0,28;0,67;0,84;0,68
4242;2603801;AGM;Capoeiras;0,79;0,54;0,13;0,02;0,18;0,98;0,09;0,75;0,02;0,51;0,98;1;0,63;0,48;0,77;0,46;0,26;0,66;0,05;0,05;;0,6;0,62;0,62;1;0;0,37;0,45;0,59;0,74;0,78;0,83
4243;2603900;PAJ;Carnaíba;0,69;0,36;0,18;0,04;0,13;0,74;0,23;0,08;0,04;0,11;0,92;0;0,6;0,37;0,82;0,54;0,41;0,67;0,02;0,02;;0,52;0,47;0,47;1;0,44;0,02;0,23;0,24;0,04;0,59;0,59
4244;2603926;IPA;Carnaubeira da Penha;0,69;0,33;0,3;0,19;0,41;0,93;0,03;0,12;0,05;0,2;0,98;0;0,37;0,11;0,63;0,61;0,41;0,81;0;0;;0,29;0,04;0,26;0;0,04;0,01;0,24;0,24;0;0,48;0,48
4245;2604007;MNS;Carpina;0,65;0,35;0,18;0,01;0,26;0,9;0,11;0,19;0,39;0;0,62;0;0,83;1;0,65;0,51;0,7;0,31;0,08;0,08;;0,79;0,98;0,98;1;0,07;0,76;0,07;0,13;0,9;0,43;0,55
4246;2604106;AGC;Caruaru;0,77;0,55;0,24;0,1;0,38;0,91;0,07;0,55;0,27;1;0,83;0;0,83;1;0,67;0,56;0,62;0,49;0,08;0,15;0;0,73;0,87;0,62;0,95;0,87;0,18;0,47;0,43;0,63;0,82;0,8
4247;2604155;AGS;Casinhas;0,66;0,29;0,12;0,06;0,19;0,98;0,03;0,18;0,02;0,34;0,64;0;0,96;1;0,92;0,39;0,41;0,38;0,01;0,01;;0,68;0,77;0,77;1;0;0,17;0,26;0,28;0,57;0,66;0,67
4248;2604205;MLS;Catende;0,62;0,42;0,18;0,02;0,29;0,75;0,06;0,27;0,11;0,8;0,44;0;0,91;1;0,83;0,57;0,64;0,5;0,21;0,21;;0,73;0,87;0,77;1;0,87;0,44;0,36;0,06;0,76;0,72;0,36
4249;2604304;SCP;Cedro;0,69;0,38;0,12;0,04;0,17;0,66;0,06;0,08;0,01;0,15;0,95;0;0,69;0,65;0,73;0,64;0,66;0,62;0,05;0,05;;0,62;0,67;0,67;1;0;0,01;0,02;0,24;0,06;0,08;0,63
4250;2604403;MNS;Chã de Alegria;0,68;0,39;0,08;0,01;0,1;0,66;0,07;0,13;0,12;0,13;0,72;0;0,85;1;0,7;0,66;1;0,32;0,07;0,07;;0,79;0,98;0,98;1;0,51;0,88;0,02;0,25;0,94;0,15;0,68
4251;2604502;MLS;Chã Grande;0,72;0,45;0,29;0,05;0,53;0,62;0,03;0,25;0,04;0,47;0,56;0;0,96;1;0,92;0,6;0,82;0,39;0,07;0,07;;0,76;0,91;0,91;1;0,8;0,6;0,35;0,07;0,86;0,75;0,44
4252;2604601;MNS;Condado;0,7;0,38;0,3;0;0,45;0,79;0,15;0,1;0,16;0,04;0,63;0;0,87;1;0,74;0,45;0,66;0,25;0,03;0,03;;0,8;1;0,93;1;1;0,81;0,24;0,24;0,93;0,68;0,69
4253;2604700;AGM;Correntes;0,71;0,4;0,28;0,31;0,25;0,74;0,11;0,12;0,18;0,07;0,41;0;0,56;0,46;0,65;0,52;0,37;0,66;0,02;0,04;0;0,44;0,33;0,93;0;0,33;0,3;0,53;0,15;0,61;0,73;0,48
4254;2604809;MLS;Cortês;0,67;0,36;0,07;0,1;0,04;0,95;0,03;0,26;0,27;0,26;0,5;0;0,82;1;0,63;0,46;0,5;0,43;0,06;0,06;;0,72;0,84;0,84;1;0,34;0,44;0,59;0,05;0,78;0,84;0,34
4255;2604908;AGS;Cumaru;0,73;0,48;0,25;0,22;0,28;0,85;0,07;0,45;0,09;1;0,82;0;0,52;0,26;0,77;0,51;0,61;0,42;0,08;0,08;;0,62;0,65;0,65;1;0;0,26;0,33;0,12;0,66;0,7;0,5
4256;2605004;AGC;Cupira;0,74;0,44;0,19;0,07;0,31;0,7;0,04;0;0,01;0;0,58;0;0,86;1;0,71;0,68;0,83;0,53;0,02;0,02;;0,71;0,82;0,82;1;0,08;0,4;0,5;0,26;0,77;0,82;0,68
4257;2605103;MOX;Custódia;0,68;0,33;0,23;0,05;0,19;1;0,27;0,25;0,11;0,39;0,95;0;0,41;0,22;0,6;0,58;0,42;0,74;0;0;;0,46;0,37;0,37;1;0,12;0,01;0,13;0,24;0;0,44;0,57
4258;2605152;SFR;Dormentes;0,76;0,47;0,74;1;0,5;0,6;0,88;0,22;0,08;0,36;0,99;0;0,32;0,1;0,54;0,62;0,47;0,78;0,03;0,03;;0,52;0,48;0,48;1;0,02;0,01;0,24;0,24;0,04;0,61;0,62
4259;2605202;MLS;Escada;0,63;0,49;0,43;0,41;0,44;0,62;0,01;0,35;0,77;0,05;0,64;0;0,74;1;0,48;0,56;0,74;0,38;0,26;0,26;;0,74;0,88;0,91;0,55;0,88;0,48;0,03;0,24;0,79;0,23;0,65
4260;2605301;ARP;Exu;0,7;0,43;0,65;0,48;0,16;0,81;1;0,16;0,09;0,24;0,86;0;0,39;0,19;0,59;0,46;0,4;0,52;0,07;0,07;;0,48;0,4;0,31;1;0,4;0,02;0,16;0,02;0,03;0,5;0,04
4261;2605400;AGS;Feira Nova;0,59;0,27;0,07;0,02;0,11;0,65;0,03;0,08;0,05;0,12;0,82;0;0,9;1;0,8;0,46;0,57;0,35;0,1;0,1;;0,79;0,98;0,98;1;0;0,79;0,02;0,02;0,89;0,13;0,13
4262;2605459;;Fernando de Noronha;0,73;0,8;0,61;0;0,88;0,61;;0;;;0;0;1;1;1;1;;1;0,39;0,22;0,57;0,8;1;1;1;0;;;;;;
4263;2605509;MNS;Ferreiros;0,71;0,39;0,3;0,06;0,88;0,54;0,07;0,14;0,28;0;0,68;0;0,84;1;0,68;0,49;0,72;0,25;0,03;0,03;;0,8;1;0,98;1;1;0,59;0,14;0,14;0,87;0,58;0,58
4264;2605608;PAJ;Flores;0,71;0,38;0,33;0,09;0,18;0,83;0,48;0,12;0,07;0,16;0,97;0;0,44;0,18;0,69;0,5;0,3;0,71;0,01;0,01;;0,46;0,36;0,33;1;0,36;0,01;0,2;0,24;0;0,54;0,57
4265;2605707;IPA;Floresta;0,8;0,57;0,55;0,59;0,51;0,82;0,03;0,74;0,48;0,49;0,98;1;0,25;0,07;0,42;0,59;0,33;0,86;0,05;0,09;0;0,47;0,38;0,38;0;0,65;0,02;0,25;0,24;0,07;0,61;0,61
4266;2605806;AGS;Frei Miguelinho;0,74;0,47;0,2;0,12;0,28;1;0,02;0,49;0,06;0,93;0,93;0;0,69;0,59;0,78;0,45;0,48;0,42;0,05;0,05;;0,73;0,86;0,86;1;0,15;0,18;0,34;0,27;0,61;0,75;0,7
4267;2605905;MLS;Gameleira;0,53;0,38;0,23;0,25;0,22;0,77;0,01;0,16;0,28;0,05;0,52;0;0,77;0,99;0,54;0,52;0,61;0,42;0,31;0,31;;0,73;0,86;0,86;1;0,14;0,74;0,02;0,24;0,84;0,11;0,61
4268;2606002;AGM;Garanhuns;0,7;0,4;0,2;0,04;0,33;0,92;0,07;0,29;0,1;0,47;0,83;0;0,89;1;0,77;0,52;0,36;0,67;0,04;0,04;;0,61;0,64;0,64;1;0,03;0,42;0,55;0,4;0,74;0,8;0,74
4269;2606101;MNS;Glória do Goitá;0,74;0,5;0,16;0,04;0,15;0,61;0,16;0,49;0,18;1;0,8;0;0,92;1;0,84;0,52;0,7;0,35;0,09;0,09;;0,77;0,93;0,93;1;0,02;0,82;0,02;0,09;0,93;0,16;0,49
4270;2606200;MNS;Goiana;0,57;0,32;0,1;0,06;0,09;0,85;0,1;0,36;0,74;0,11;0,61;0;0,83;1;0,66;0,27;0,33;0,22;0,18;0,03;0,33;0,65;0,72;0,72;0,97;0,67;0,96;0,23;0,25;0,88;0,6;0,61
4271;2606309;ARP;Granito;0,58;0,37;0,45;0,21;0,23;0,69;0,67;0,23;0,06;0,39;0,93;0;0,28;0,12;0,45;0,53;0,49;0,57;0,22;0,22;;0,51;0,45;0,45;1;0;0,01;0,08;0,02;0;0,33;0,03
4272;2606408;AGC;Gravatá;0,77;0,53;0,17;0,15;0,19;0,97;0,05;0,49;0,17;0,92;0,81;0;0,89;1;0,78;0,56;0,71;0,42;0,06;0,06;;0,63;0,67;0,67;1;0,26;0,5;0,57;0,27;0,8;0,83;0,67
4273;2606507;AGM;Iati;0,69;0,37;0,15;0,03;0,16;0,86;0,13;0,28;0,08;0,48;0,95;0;0,46;0,24;0,68;0,48;0,18;0,78;0,03;0,03;;0,59;0,6;0,6;0;0,6;0,19;0,12;0,13;0,57;0,47;0,49
4274;2606606;MOX;Ibimirim;0,69;0,41;0,23;0,24;0,21;0,93;0,05;0,46;0,4;0,52;0,96;0;0,37;0,12;0,61;0,61;0,42;0,8;0,08;0,08;;0,59;0,6;0,62;0;0,6;0,02;0,24;0,24;0,1;0,62;0,62
4275;2606705;AGC;Ibirajuba;0,72;0,42;0,1;0,01;0,17;0,96;0,03;0,33;0,04;0,61;0,9;0;0,54;0,33;0,76;0,51;0,44;0,58;0,03;0,03;;0,68;0,77;0,77;1;0;0,43;0,33;0,4;0,77;0,72;0,76
4276;2606804;MET;Igarassu;0,46;0,15;0,12;0,01;0,2;0,59;0,03;0,12;0,09;0,16;0,69;0;0,74;1;0,48;0,17;0,08;0,25;0,19;0,06;0,32;0,6;0,63;0,63;0,6;0,76;0,31;0,02;0,25;0,59;0,05;0,55
